name,finished,route_covered,path_length_m,run_time_s,mission_time_s,path_ratio,time_ratio,loop_residual_m,sum_dv,sum_dw,v_per_m,w_per_m,idle_time_s,idle_ratio,clear_p50,clear_p05,near_miss_count,contact_count,track_far_p50,track_trans_p50,track_near_p50,track_p50,track_p95,arrival_p50,arrival_p95,reached_n,anchor_n,mean_anchor_disp,anchor_useful_rate
52_v9_r1,False,0.4985564778058463,97.5367512368502,1085.354837179184,nan,0.24922470863755408,inf,69.74883511572075,8.039999999999958,67.48999999999998,0.08243046747042339,0.6919443096491171,230.05830097198486,0.21196597931963146,4.703711507397312,0.4901754250991365,1,0,0.18777602794032605,0.31047034476100843,1.3769255629243624,0.6854926143477226,3.315074174867702,2.9793307557500874,3.1278903116863113,22,0,nan,nan
52_v9_r4,False,0.3282208588957055,86.8647058883514,1070.051983833313,nan,0.22195562945643915,inf,59.5295724829265,15.47999999999997,156.55,0.1782081668462294,1.802227940554087,140.02272748947144,0.13085600475956263,4.525448697299563,0.0499999999999986,22,18,0.8776073368355547,1.9058082859431513,1.6985628419004104,1.4288160298047352,6.28697220915588,2.9818052578105214,3.2511462135684743,14,0,nan,nan
53,False,0.8155900396968604,539.2982464471096,10575.458688259125,nan,1.3780082546848746,inf,136.25288987760956,401.01999999999003,4098.500000000381,0.74359596501918,7.599690944669764,4529.512500047684,0.4283041174446976,43.81684157886638,5.153447251418761,5,0,3.0976255948993536,0.710779654796325,1.0230116492630617,3.0976255948993536,27.33415094854027,3.1292689870314585,3.874894281268765,37,0,nan,nan
55,False,0.7574882713821725,477.19923970474565,2245.5158710479736,nan,1.2193336354691389,inf,160.8833739079337,85.37000000000015,159.99000000000015,0.17889802182589512,0.3352687655139386,24.99646019935608,0.011131722791026335,12.465615474880634,0.35498756211208915,22,4,12.435103168742824,3.7394075837601894,1.457409385166021,4.3015968582574455,21.87877295995843,3.1301253695812665,3.7045378768393626,19,153,1.64671304030739,0.6078431372549019
56,True,0.9749188018765789,1390.2079083975286,9572.177031040192,2050.2563519477844,3.5522421704886225,5.2436223834981694,9.080198235721504,151.17000000000098,238.56000000000023,0.10873913109460895,0.17160023228107277,55.45143723487854,0.005792980745661442,11.129643458101778,3.4089892258424976,16,11,0.506288407771865,0.8996900033084629,1.3158420814056353,0.6884239554970877,3.9896699918900085,2.8504991719814083,3.704175662509975,83,44,0.5112354202349734,0.13636363636363635
58,True,0.9204258390472754,1362.6632330131333,10338.071198940277,nan,3.4818603542999536,inf,7.217340230306452,228.66000000000207,628.7400000000004,0.16780374964281305,0.46140527224010053,785.6105744838715,0.0759919872252768,11.792266674525186,1.849999999999997,22,13,6.536171743849392,7.643802105286463,1.7086111792121408,6.264927064369035,10.913807251098957,2.9607140428785725,3.863592785985297,56,877,1.6120708531481716,0.5655644241733181
59,True,0.9408155900396968,553.6202129599407,374.7,332.0,1.414603567590156,0.8491048593350383,5.949544867466751,81.78000000000006,170.44000000000017,0.14771859496018358,0.30786448184169357,1.7999999999999972,0.00480384307445956,9.04733956196234,1.4009624106745582,39,17,1.2085925823801917,3.4293276335882528,1.213394828836922,1.5973208925833904,7.377119101633898,3.6788597758059134,5.402277342545213,79,174,0.9153438869613377,0.3160919540229885
60,True,0.9547094911584265,468.2460213998069,400.2,318.59999999999997,1.196456482035985,0.8148337595907927,13.46436641398324,65.2700000000001,151.37000000000037,0.139392535156791,0.32327023206195,82.10000000000002,0.20514742628685664,12.216114324457093,2.0859858259866773,27,11,3.0873913176579175,2.0581512263555775,2.096981700699222,2.594489742098018,5.41660336989703,3.4629965425529625,6.960568005692088,79,47,0.5203100427326657,0.1276595744680851
61,True,0.6894622879826777,609.2927819303338,1494.9,386.7,1.556857431952088,0.989002557544757,15.931857860902474,116.81000000000006,229.19000000000028,0.19171407156659218,0.3761574185630279,1056.5,0.706736236537561,28.00504764138423,5.755938695460643,31,6,15.703205716088581,4.348210103152686,1.2960765888522057,15.703205716088581,15.703205716088581,14.463012023931833,20.263804321454593,81,111,0.7426182086258389,0.2702702702702703
62,True,0.33399494767232046,599.1981202350358,432.59999999999997,390.5,1.5310636763891612,0.9987212276214834,7.406054718269373,89.43000000000015,212.7300000000004,0.1492494668790369,0.35502447824194927,40.399999999999984,0.09338881183541375,14.233621746402989,1.7708154092235349,87,20,11.17487485740399,4.017090941894637,1.4445153383184761,7.426213520658172,28.087528612519275,11.36567018939892,21.911440750315823,86,336,1.3021089192296125,0.5208333333333334
