name,path_ratio,time_ratio,loop_residual_m,idle_ratio,clear_p50,clear_p05,near_miss_count,contact_count,track_p50,track_p95,arrival_p50,arrival_p95,anchor_useful_rate
52_v9_r1,0.992,0.000,0.588,0.705,0.005,0.077,1.000,1.000,1.000,1.000,0.989,1.000,0.000
52_v9_r4,1.000,0.000,0.654,0.820,0.000,0.000,0.756,0.100,0.951,0.880,0.989,0.993,0.000
53,0.653,0.000,0.159,0.397,1.000,0.894,0.953,1.000,0.839,0.030,0.976,0.960,0.000
55,0.701,0.000,0.000,0.991,0.202,0.053,0.756,0.800,0.759,0.251,0.976,0.969,1.000
56,0.000,0.000,0.980,0.999,0.168,0.589,0.826,0.450,1.000,0.973,1.000,0.969,0.018
58,0.021,0.000,0.992,0.899,0.185,0.315,0.756,0.350,0.628,0.693,0.991,0.961,0.912
59,0.642,0.992,1.000,1.000,0.115,0.237,0.558,0.150,0.939,0.836,0.929,0.879,0.392
60,0.707,1.000,0.951,0.715,0.196,0.357,0.698,0.450,0.873,0.915,0.947,0.796,0.000
61,0.599,0.961,0.936,0.000,0.598,1.000,0.651,0.700,0.000,0.500,0.000,0.088,0.297
62,0.607,0.958,0.991,0.874,0.247,0.302,0.000,0.000,0.551,0.000,0.267,0.000,0.819
