snapshot_id,wall_ts,robot_x,robot_y,n_occupied,n_unknown,n_free
0,1776513366.449,-88.089,-15.030,157714,0,1035648
1,1776513371.449,-88.089,-15.030,157714,0,1035648
2,1776513376.949,-87.889,-15.269,157714,0,1035648
3,1776513382.449,-87.415,-15.829,157714,0,1035648
4,1776513387.949,-86.965,-16.341,157714,0,1035648
5,1776513393.449,-86.568,-16.737,157820,0,1035533
6,1776513398.449,-86.063,-17.136,157908,0,1035447
7,1776513403.949,-85.554,-17.505,157948,0,1035410
8,1776513408.949,-85.010,-17.894,157863,0,1035496
9,1776513414.449,-84.377,-18.329,157863,0,1035496
10,1776513419.949,-83.740,-18.755,157863,0,1035496
11,1776513424.949,-83.167,-19.099,157955,0,1035401
12,1776513430.449,-82.490,-19.491,158048,0,1035312
13,1776513435.949,-81.898,-19.828,158371,0,1034982
14,1776513440.949,-81.321,-20.157,158529,0,1034816
15,1776513446.449,-80.793,-20.499,158585,0,1034757
16,1776513451.449,-80.394,-20.821,158565,0,1034774
17,1776513456.949,-79.881,-21.266,158549,0,1034792
